admin_area_1,admin_area_2,count,facility_id,indicator_common_id,indicator_id,indicator_label,month,period_id,year
Bangladesh,Chattogram Division,22,A3qJGlJU4KO,anc4,No.  of mother received  ANC 4,Antenatal care 4,07,202307,2023
Bangladesh,Chattogram Division,16,A3qJGlJU4KO,delivery,No. of Normal Deliveries,Institutional delivery,05,202305,2023
Bangladesh,Chattogram Division,13,A3qJGlJU4KO,delivery,No. of Normal Deliveries,Institutional delivery,06,202306,2023
Bangladesh,Chattogram Division,21,A3qJGlJU4KO,delivery,No. of Normal Deliveries,Institutional delivery,07,202307,2023
Bangladesh,Chattogram Division,23,A3qJGlJU4KO,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,05,202305,2023
Bangladesh,Chattogram Division,25,A3qJGlJU4KO,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,06,202306,2023
Bangladesh,Chattogram Division,25,A3qJGlJU4KO,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,07,202307,2023
Bangladesh,Chattogram Division,10779,A3qJGlJU4KO,opd,Outdoor Patients,Outpatient visit,05,202305,2023
Bangladesh,Chattogram Division,9561,A3qJGlJU4KO,opd,Outdoor Patients,Outpatient visit,06,202306,2023
Bangladesh,Chattogram Division,13474,A3qJGlJU4KO,opd,Outdoor Patients,Outpatient visit,07,202307,2023
Bangladesh,Chattogram Division,700,A3qJGlJU4KO,penta1,Penta 1 given (0-11m),Penta vaccine 1,05,202305,2023
Bangladesh,Chattogram Division,603,A3qJGlJU4KO,penta1,Penta 1 given (0-11m),Penta vaccine 1,06,202306,2023
Bangladesh,Chattogram Division,232,A3qJGlJU4KO,penta1,Penta 1 given (0-11m),Penta vaccine 1,07,202307,2023
Bangladesh,Rangpur Division,248,A4mKW5zaHf2,anc1,No.  of mother received  ANC 1,Antenatal care 1,05,202305,2023
Bangladesh,Rangpur Division,240,A4mKW5zaHf2,anc1,No.  of mother received  ANC 1,Antenatal care 1,06,202306,2023
Bangladesh,Rangpur Division,250,A4mKW5zaHf2,anc1,No.  of mother received  ANC 1,Antenatal care 1,07,202307,2023
Bangladesh,Rangpur Division,173,A4mKW5zaHf2,anc4,No.  of mother received  ANC 4,Antenatal care 4,05,202305,2023
Bangladesh,Rangpur Division,165,A4mKW5zaHf2,anc4,No.  of mother received  ANC 4,Antenatal care 4,06,202306,2023
Bangladesh,Rangpur Division,158,A4mKW5zaHf2,anc4,No.  of mother received  ANC 4,Antenatal care 4,07,202307,2023
Bangladesh,Rangpur Division,69,A4mKW5zaHf2,delivery,No. of Normal Deliveries,Institutional delivery,05,202305,2023
Bangladesh,Rangpur Division,66,A4mKW5zaHf2,delivery,No. of Normal Deliveries,Institutional delivery,06,202306,2023
Bangladesh,Rangpur Division,68,A4mKW5zaHf2,delivery,No. of Normal Deliveries,Institutional delivery,07,202307,2023
Bangladesh,Rangpur Division,408,A4mKW5zaHf2,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,05,202305,2023
Bangladesh,Rangpur Division,397,A4mKW5zaHf2,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,06,202306,2023
Bangladesh,Rangpur Division,397,A4mKW5zaHf2,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,07,202307,2023
Bangladesh,Mymensingh Division,477,A6qS2r3JhmZ,bcg,BCG given (0-11m),BCG vaccine,05,202305,2023
Bangladesh,Mymensingh Division,315,A6qS2r3JhmZ,bcg,BCG given (0-11m),BCG vaccine,06,202306,2023
Bangladesh,Mymensingh Division,376,A6qS2r3JhmZ,bcg,BCG given (0-11m),BCG vaccine,07,202307,2023
Bangladesh,Mymensingh Division,98,A6qS2r3JhmZ,anc1,No.  of mother received  ANC 1,Antenatal care 1,05,202305,2023
Bangladesh,Mymensingh Division,89,A6qS2r3JhmZ,anc1,No.  of mother received  ANC 1,Antenatal care 1,06,202306,2023
Bangladesh,Mymensingh Division,83,A6qS2r3JhmZ,anc1,No.  of mother received  ANC 1,Antenatal care 1,07,202307,2023
